Match Number,Round Number,Date,Location,Home Team,Away Team,Result
376,1,02/12/25 00:30,"Kia Center, Orlando, FL",Orlando Magic,Chicago Bulls,
377,1,02/12/25 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Dallas Mavericks,
378,1,02/12/25 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Houston Rockets,
379,1,02/12/25 03:00,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Phoenix Suns,
380,1,03/12/25 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Washington Wizards,
381,1,03/12/25 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Portland Trail Blazers,
382,1,03/12/25 01:00,"TD Garden, Boston, MA",Boston Celtics,New York Knicks,
383,1,03/12/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Minnesota Timberwolves,
384,1,03/12/25 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Memphis Grizzlies,
385,1,03/12/25 04:00,"Chase Center, San Francisco, CA",Golden State Warriors,Oklahoma City Thunder,
386,1,04/12/25 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Portland Trail Blazers,
387,1,04/12/25 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Denver Nuggets,
388,1,04/12/25 00:00,"Kia Center, Orlando, FL",Orlando Magic,San Antonio Spurs,
389,1,04/12/25 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,LA Clippers,
390,1,04/12/25 00:30,"Madison Square Garden, New York, NY",New York Knicks,Charlotte Hornets,
391,1,04/12/25 01:00,"United Center, Chicago, IL",Chicago Bulls,Brooklyn Nets,
392,1,04/12/25 01:00,"Toyota Center, Houston, TX",Houston Rockets,Sacramento Kings,
393,1,04/12/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Detroit Pistons,
394,1,04/12/25 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Miami Heat,
395,1,05/12/25 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Golden State Warriors,
396,1,05/12/25 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Boston Celtics,
397,1,05/12/25 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Utah Jazz,
398,1,05/12/25 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Los Angeles Lakers,
399,1,05/12/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Minnesota Timberwolves,
400,1,06/12/25 00:00,"TD Garden, Boston, MA",Boston Celtics,Los Angeles Lakers,
401,1,06/12/25 00:00,"Kia Center, Orlando, FL",Orlando Magic,Miami Heat,
402,1,06/12/25 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Denver Nuggets,
403,1,06/12/25 00:30,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,San Antonio Spurs,
404,1,06/12/25 00:30,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Portland Trail Blazers,
405,1,06/12/25 00:30,"Madison Square Garden, New York, NY",New York Knicks,Utah Jazz,
406,1,06/12/25 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Charlotte Hornets,
407,1,06/12/25 01:00,"United Center, Chicago, IL",Chicago Bulls,Indiana Pacers,
408,1,06/12/25 01:00,"Toyota Center, Houston, TX",Houston Rockets,Phoenix Suns,
409,1,06/12/25 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,LA Clippers,
410,1,06/12/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Philadelphia 76ers,
411,1,06/12/25 02:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Dallas Mavericks,
412,1,06/12/25 22:00,"Barclays Center, Brooklyn, NY",Brooklyn Nets,New Orleans Pelicans,
413,1,07/12/25 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Atlanta Hawks,
414,1,07/12/25 00:30,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Golden State Warriors,
415,1,07/12/25 00:30,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Milwaukee Bucks,
416,1,07/12/25 01:00,"Kaseya Center, Miami, FL",Miami Heat,Sacramento Kings,
417,1,07/12/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,LA Clippers,
418,1,07/12/25 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Houston Rockets,
419,1,07/12/25 17:00,"Madison Square Garden, New York, NY",New York Knicks,Orlando Magic,
420,1,07/12/25 20:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Boston Celtics,
421,1,07/12/25 23:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Denver Nuggets,
422,1,07/12/25 23:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Portland Trail Blazers,
423,1,08/12/25 00:00,"United Center, Chicago, IL",Chicago Bulls,Golden State Warriors,
424,1,08/12/25 00:30,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Los Angeles Lakers,
425,1,08/12/25 01:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Oklahoma City Thunder,
426,1,09/12/25 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Sacramento Kings,
427,1,09/12/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Phoenix Suns,
428,1,09/12/25 02:30,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,San Antonio Spurs,
429,1,09/12/25 05:00,,,,
430,1,09/12/25 05:00,,,,
431,1,10/12/25 05:00,,,,
432,1,10/12/25 05:00,,,,
433,1,13/12/25 05:00,"T-Mobile Arena, Las Vegas, NV",,,
434,1,13/12/25 05:00,"T-Mobile Arena, Las Vegas, NV",,,
435,1,16/12/25 05:00,"T-Mobile Arena, Las Vegas, NV",,,
436,1,18/12/25 01:00,"United Center, Chicago, IL",Chicago Bulls,Cleveland Cavaliers,
437,1,18/12/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Memphis Grizzlies,
438,1,18/12/25 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,LA Clippers,
439,1,18/12/25 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Washington Wizards,
440,1,19/12/25 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Atlanta Hawks,
441,1,19/12/25 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,New York Knicks,
442,1,19/12/25 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Miami Heat,
443,1,19/12/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Toronto Raptors,
444,1,19/12/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Houston Rockets,
445,1,19/12/25 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Detroit Pistons,
446,1,19/12/25 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Orlando Magic,
447,1,19/12/25 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Golden State Warriors,
448,1,19/12/25 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Los Angeles Lakers,
449,1,19/12/25 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Sacramento Kings,
450,1,20/12/25 00:00,"TD Garden, Boston, MA",Boston Celtics,Miami Heat,
451,1,20/12/25 00:00,"Madison Square Garden, New York, NY",New York Knicks,Philadelphia 76ers,
